Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,27,444.51,None
ebc9c10093a1255a,3,PASS,30,409.03,None
ed40414d615431d6,3,PASS,10,443.82,None
dce20e150e7fcced,5,FAIL,27,447.00,None
3fe8a85b768ae5b7,1,FAIL,11,603.14,disconnected
1284a7249a4fa10f,3,FAIL,25,492.80,None
cbeb87b359947c42,3,FAIL,14,461.25,None
c80d64b5c5e39d7b,5,FAIL,50,517.01,None
24e8876585456ee5,5,FAIL,37,469.03,None
196a88635b1c83b4,4,FAIL,34,501.30,None
e82bd665d710bb75,2,PASS,19,375.16,None
c6739963a7308111,3,PASS,13,312.66,None
953c10f2e4d6fd6,2,PASS,24,396.68,None
d91761f3ba340d,4,FAIL,26,462.85,None
bc66c2e18fd6231b,3,FAIL,13,361.83,None
4b236c53ea5fbbdf,3,FAIL,6,394.91,None
5f9a92945a4ab62e,1,PASS,8,411.92,None
860fbc1cfd446f7c,3,FAIL,32,455.29,None
5b5d43da944a752d,4,PASS,10,356.09,None
971ad9f45d1bd53b,5,FAIL,33,444.78,None
5b3d4d35ac301050,2,PASS,12,311.31,None
69a08c785ce5fcac,1,PASS,7,328.45,None
a814bed4f6905ba4,5,FAIL,31,614.44,disconnected
f32fe4e5b37fedaa,5,FAIL,18,462.63,disconnected
3ba7fc567dd14312,3,FAIL,21,522.52,None
7ce0b04c1a28cca6,1,PASS,25,313.43,None
8635ff1b1bcf0c2e,5,FAIL,30,580.28,None
21df75919e7080e4,3,PASS,9,316.44,None
daa2db8c01da0bfa,5,FAIL,23,446.21,None
6443d25f8c289548,3,PASS,18,388.13,None
91158b440e1d1942,5,FAIL,20,413.37,None
1ba6ec5d1f0c3bc6,2,FAIL,18,330.54,None
de0f40e0c4c5852a,4,FAIL,20,432.77,None
7c2cc9e25acdc10f,4,FAIL,28,426.75,None
146a216115846f70,5,FAIL,30,483.66,None
704931925890a56c,2,FAIL,10,347.75,None
22c41f4911d10461,3,FAIL,28,450.91,None
75761871763e88e3,2,FAIL,19,458.77,None
fee7fa98ecbf4534,1,PASS,11,618.07,None
3abef01e5d890e13,4,PASS,16,348.39,None
a71c3513799bf094,2,PASS,31,565.94,None
3b229c1d0453a603,3,PASS,27,464.02,None
ba867d9c182c1124,1,PASS,16,292.84,None
22ee8177bb6b927d,4,FAIL,32,663.71,intersecting
200a2fdec77f69b6,1,PASS,10,281.64,None
4c7b5bd02c9270d,3,FAIL,13,493.50,None
efb560f2141edf82,1,PASS,18,378.03,None
b7b817f9033f188,5,FAIL,30,544.98,None
4cc3d963aecb0aec,3,FAIL,18,471.76,None
6a4a59d9017e80e2,4,FAIL,29,505.09,None
a483b2ad65b79823,4,FAIL,23,566.50,None
c611d73335c05ea3,3,FAIL,34,503.51,None
9fc7d6795a3be635,2,PASS,11,365.90,None
9b4f3b36495c1615,3,FAIL,18,440.51,disconnected
1b62c846b90e5d1d,3,FAIL,13,350.31,None
934d99322aa22dff,1,FAIL,15,337.74,None
cd5b6b24c51fb69a,2,PASS,15,521.63,None
bb9d7db6f55f1f1e,4,FAIL,31,585.46,None
d1e03bb313e747a9,1,PASS,16,295.41,None
e1b6f8b19d2f4176,2,FAIL,23,429.15,None
c09ea70a605760d3,1,PASS,21,305.66,None
58a0f5bca3ff514c,5,FAIL,21,513.39,None
625730bf3883005c,4,PASS,15,423.70,None
8211b75bfb0c714d,1,PASS,12,274.19,None
12adf37a767b56ea,2,PASS,23,386.23,None
4582b19904d9a029,1,PASS,12,342.81,None
62035ff8ad16cb71,2,FAIL,23,439.21,None
5c3f4379847796c4,4,FAIL,15,387.15,disconnected
bc71d833fad658fb,1,PASS,18,399.31,None
77da6edaa689f44a,2,FAIL,15,388.89,None
7326259652efbc9d,4,FAIL,23,463.80,None
85f95e3fbcd76abb,3,FAIL,32,398.45,None
bb667cb09578b4a3,5,FAIL,43,465.29,rules
ad8f394763490f26,3,PASS,14,354.75,None
3d1c8a00f582892,3,FAIL,11,461.18,disconnected
b10c07139b1aa490,1,PASS,15,396.67,None
