Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,27,2399.59,None
ebc9c10093a1255a,3,PASS,30,3143.52,None
ed40414d615431d6,3,FAIL,16,2219.83,None
dce20e150e7fcced,5,FAIL,23,4768.21,None
3fe8a85b768ae5b7,1,FAIL,28,2070.60,None
1284a7249a4fa10f,3,FAIL,21,4640.25,rules
cbeb87b359947c42,3,FAIL,10,1070.61,None
c80d64b5c5e39d7b,5,FAIL,54,2313.36,rules
24e8876585456ee5,5,FAIL,29,3324.07,None
196a88635b1c83b4,4,FAIL,18,951.07,None
e82bd665d710bb75,2,PASS,19,1965.84,None
c6739963a7308111,3,PASS,9,769.38,None
953c10f2e4d6fd6,2,PASS,2,780.90,None
d91761f3ba340d,4,FAIL,26,3540.97,None
bc66c2e18fd6231b,3,FAIL,13,2036.66,None
4b236c53ea5fbbdf,3,FAIL,28,3502.29,None
5f9a92945a4ab62e,1,PASS,8,1842.39,None
860fbc1cfd446f7c,3,FAIL,32,807.90,None
5b5d43da944a752d,4,PASS,10,843.53,None
971ad9f45d1bd53b,5,FAIL,37,3163.97,None
5b3d4d35ac301050,2,PASS,12,1130.72,None
69a08c785ce5fcac,1,PASS,15,861.08,None
a814bed4f6905ba4,5,FAIL,31,6962.03,None
f32fe4e5b37fedaa,5,FAIL,23,3282.31,None
3ba7fc567dd14312,3,FAIL,21,2206.07,None
7ce0b04c1a28cca6,1,PASS,25,642.91,None
8635ff1b1bcf0c2e,5,FAIL,30,1192.58,None
21df75919e7080e4,3,PASS,9,650.61,None
daa2db8c01da0bfa,5,FAIL,27,2161.29,None
6443d25f8c289548,3,FAIL,26,1115.55,None
91158b440e1d1942,5,FAIL,12,1195.46,None
1ba6ec5d1f0c3bc6,2,FAIL,24,1803.59,None
de0f40e0c4c5852a,4,FAIL,16,3174.85,None
7c2cc9e25acdc10f,4,FAIL,28,1045.65,None
146a216115846f70,5,FAIL,30,2126.20,None
704931925890a56c,2,FAIL,10,723.47,None
22c41f4911d10461,3,FAIL,24,1126.26,disconnected
75761871763e88e3,2,FAIL,11,1044.36,None
fee7fa98ecbf4534,1,PASS,7,628.58,None
3abef01e5d890e13,4,FAIL,16,1764.97,None
a71c3513799bf094,2,PASS,31,703.45,None
3b229c1d0453a603,3,PASS,27,2014.97,None
ba867d9c182c1124,1,FAIL,6,738.69,None
22ee8177bb6b927d,4,FAIL,30,3409.62,rules
200a2fdec77f69b6,1,PASS,10,785.93,None
4c7b5bd02c9270d,3,FAIL,9,626.20,None
efb560f2141edf82,1,PASS,18,958.88,None
