Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,19,32.91,rules
ebc9c10093a1255a,3,FAIL,37,27.61,"start/end, intersecting, rules"
ed40414d615431d6,3,FAIL,10,24.16,rules
dce20e150e7fcced,5,FAIL,25,30.10,"intersecting, rules"
3fe8a85b768ae5b7,1,FAIL,2,34.66,None
1284a7249a4fa10f,3,FAIL,18,26.00,"disconnected, intersecting, rules"
cbeb87b359947c42,3,FAIL,16,28.47,rules
c80d64b5c5e39d7b,5,FAIL,8,28.91,None
24e8876585456ee5,5,FAIL,5,29.22,None
196a88635b1c83b4,4,FAIL,25,27.99,"disconnected, intersecting, rules"
e82bd665d710bb75,2,FAIL,14,24.84,"disconnected, rules"
c6739963a7308111,3,FAIL,17,24.23,None
953c10f2e4d6fd6,2,FAIL,28,30.28,"intersecting, rules"
d91761f3ba340d,4,FAIL,14,25.11,rules
bc66c2e18fd6231b,3,FAIL,9,25.44,rules
4b236c53ea5fbbdf,3,FAIL,49,42.59,"disconnected, intersecting, rules"
5f9a92945a4ab62e,1,FAIL,9,25.18,"disconnected, rules"
860fbc1cfd446f7c,3,FAIL,32,27.42,"intersecting, rules"
5b5d43da944a752d,4,FAIL,13,26.98,"disconnected, rules"
971ad9f45d1bd53b,5,FAIL,19,35.03,rules
5b3d4d35ac301050,2,FAIL,12,11.13,None
69a08c785ce5fcac,1,FAIL,7,10.13,"intersecting, rules"
a814bed4f6905ba4,5,FAIL,15,14.35,None
f32fe4e5b37fedaa,5,FAIL,29,19.70,rules
3ba7fc567dd14312,3,FAIL,29,18.94,"disconnected, rules"
7ce0b04c1a28cca6,1,FAIL,5,23.09,None
8635ff1b1bcf0c2e,5,FAIL,26,17.25,"disconnected, intersecting, rules"
21df75919e7080e4,3,FAIL,13,15.62,rules
daa2db8c01da0bfa,5,FAIL,11,15.11,None
6443d25f8c289548,3,FAIL,9,10.56,"disconnected, rules"
91158b440e1d1942,5,FAIL,16,22.38,rules
1ba6ec5d1f0c3bc6,2,FAIL,24,24.30,"intersecting, rules"
de0f40e0c4c5852a,4,FAIL,29,18.16,"disconnected, rules"
7c2cc9e25acdc10f,4,FAIL,27,19.91,"start/end, intersecting, rules"
146a216115846f70,5,FAIL,20,16.72,rules
704931925890a56c,2,FAIL,17,14.20,"disconnected, rules"
22c41f4911d10461,3,FAIL,38,22.20,"disconnected, intersecting, rules"
75761871763e88e3,2,FAIL,11,13.23,None
fee7fa98ecbf4534,1,FAIL,9,13.53,rules
3abef01e5d890e13,4,FAIL,18,15.36,rules
a71c3513799bf094,2,FAIL,3,16.12,None
3b229c1d0453a603,3,FAIL,23,15.27,rules
ba867d9c182c1124,1,FAIL,8,9.49,rules
22ee8177bb6b927d,4,FAIL,24,31.53,"intersecting, rules"
200a2fdec77f69b6,1,PASS,10,12.19,None
4c7b5bd02c9270d,3,FAIL,9,12.83,None
efb560f2141edf82,1,FAIL,16,17.60,rules
b7b817f9033f188,5,FAIL,12,16.34,rules
4cc3d963aecb0aec,3,FAIL,14,17.07,rules
6a4a59d9017e80e2,4,FAIL,17,16.84,rules
a483b2ad65b79823,4,FAIL,20,13.79,"disconnected, intersecting, rules"
c611d73335c05ea3,3,FAIL,21,17.55,"disconnected, intersecting, rules"
9fc7d6795a3be635,2,FAIL,14,14.52,"disconnected, rules"
9b4f3b36495c1615,3,FAIL,11,15.28,rules
1b62c846b90e5d1d,3,FAIL,10,12.95,"disconnected, rules"
934d99322aa22dff,1,FAIL,13,19.09,rules
cd5b6b24c51fb69a,2,FAIL,11,14.01,None
bb9d7db6f55f1f1e,4,FAIL,23,13.24,None
d1e03bb313e747a9,1,FAIL,13,15.03,"disconnected, intersecting, rules"
e1b6f8b19d2f4176,2,FAIL,25,18.62,"intersecting, rules"
