Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,7,1.4%
Failed,493,98.6%
,,
Fully Valid Paths,88,17.6%
Connected Paths,375,75.0%
Correct Start/End,480,96.0%
Non-Intersecting,393,78.6%
No Rule Violations,103,20.6%
,,
Avg Path Length,18.2 steps,
Min Path Length,1 steps,
Max Path Length,112 steps,
,,
Difficulty 1 Solved,2/86,2.3%
Difficulty 2 Solved,4/118,3.4%
Difficulty 3 Solved,1/121,0.8%
Difficulty 4 Solved,0/86,0.0%
Difficulty 5 Solved,0/89,0.0%
,,
Total Time,8026.0 seconds,
Avg Time per Puzzle,16.05 seconds,
Puzzles per Minute,3.7,
