Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,39,37.91,rules
ebc9c10093a1255a,3,FAIL,26,37.86,None
ed40414d615431d6,3,FAIL,12,48.92,None
dce20e150e7fcced,5,FAIL,47,52.01,rules
3fe8a85b768ae5b7,1,FAIL,42,61.79,rules
1284a7249a4fa10f,3,FAIL,21,54.60,rules
cbeb87b359947c42,3,FAIL,28,48.14,None
c80d64b5c5e39d7b,5,FAIL,28,41.62,None
24e8876585456ee5,5,FAIL,59,55.08,rules
196a88635b1c83b4,4,FAIL,36,49.32,rules
e82bd665d710bb75,2,PASS,19,38.14,None
c6739963a7308111,3,PASS,9,32.99,None
953c10f2e4d6fd6,2,PASS,20,43.38,None
d91761f3ba340d,4,FAIL,40,58.74,rules
bc66c2e18fd6231b,3,FAIL,9,40.91,None
4b236c53ea5fbbdf,3,FAIL,32,62.02,rules
5f9a92945a4ab62e,1,FAIL,8,42.25,None
860fbc1cfd446f7c,3,FAIL,58,65.10,rules
5b5d43da944a752d,4,FAIL,16,53.11,rules
971ad9f45d1bd53b,5,FAIL,43,61.03,"intersecting, rules"
5b3d4d35ac301050,2,FAIL,16,39.69,rules
69a08c785ce5fcac,1,PASS,11,25.59,None
a814bed4f6905ba4,5,FAIL,35,34.26,None
f32fe4e5b37fedaa,5,FAIL,51,41.55,rules
3ba7fc567dd14312,3,FAIL,21,34.65,None
7ce0b04c1a28cca6,1,PASS,25,41.35,None
8635ff1b1bcf0c2e,5,FAIL,36,33.48,rules
21df75919e7080e4,3,FAIL,9,37.21,rules
daa2db8c01da0bfa,5,FAIL,25,43.10,disconnected
6443d25f8c289548,3,FAIL,14,42.65,None
91158b440e1d1942,5,FAIL,32,35.75,None
1ba6ec5d1f0c3bc6,2,FAIL,24,49.18,None
de0f40e0c4c5852a,4,FAIL,8,25.76,None
7c2cc9e25acdc10f,4,FAIL,28,33.70,None
146a216115846f70,5,FAIL,36,33.25,rules
704931925890a56c,2,FAIL,88,65.95,"disconnected, intersecting, rules"
22c41f4911d10461,3,FAIL,50,39.51,None
75761871763e88e3,2,FAIL,19,29.40,None
fee7fa98ecbf4534,1,PASS,7,20.78,None
3abef01e5d890e13,4,FAIL,18,26.60,None
a71c3513799bf094,2,FAIL,37,62.46,rules
3b229c1d0453a603,3,FAIL,27,24.55,None
ba867d9c182c1124,1,FAIL,16,23.38,None
22ee8177bb6b927d,4,FAIL,46,45.86,rules
200a2fdec77f69b6,1,PASS,10,28.26,None
4c7b5bd02c9270d,3,FAIL,19,36.99,None
efb560f2141edf82,1,PASS,18,25.85,None
b7b817f9033f188,5,FAIL,34,38.19,rules
4cc3d963aecb0aec,3,FAIL,18,44.52,rules
6a4a59d9017e80e2,4,FAIL,29,43.54,None
a483b2ad65b79823,4,FAIL,43,56.18,None
c611d73335c05ea3,3,FAIL,30,40.88,None
9fc7d6795a3be635,2,PASS,11,29.58,None
9b4f3b36495c1615,3,FAIL,21,43.93,None
1b62c846b90e5d1d,3,FAIL,31,35.32,None
934d99322aa22dff,1,FAIL,15,39.75,None
cd5b6b24c51fb69a,2,FAIL,21,48.27,rules
bb9d7db6f55f1f1e,4,FAIL,69,41.30,"intersecting, rules"
d1e03bb313e747a9,1,FAIL,18,144.81,rules
e1b6f8b19d2f4176,2,FAIL,19,33.29,None
c09ea70a605760d3,1,PASS,21,35.15,None
58a0f5bca3ff514c,5,FAIL,21,34.46,None
625730bf3883005c,4,FAIL,23,44.75,None
8211b75bfb0c714d,1,PASS,12,29.84,None
12adf37a767b56ea,2,FAIL,17,57.90,None
4582b19904d9a029,1,FAIL,10,52.09,None
62035ff8ad16cb71,2,FAIL,23,29.03,None
5c3f4379847796c4,4,FAIL,33,71.65,rules
bc71d833fad658fb,1,FAIL,20,35.15,rules
