Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,83,16.6%
Failed,417,83.4%
,,
Fully Valid Paths,280,56.0%
Connected Paths,477,95.4%
Correct Start/End,500,100.0%
Non-Intersecting,473,94.6%
No Rule Violations,286,57.2%
,,
Avg Path Length,26.8 steps,
Min Path Length,2 steps,
Max Path Length,185 steps,
,,
Difficulty 1 Solved,44/86,51.2%
Difficulty 2 Solved,25/118,21.2%
Difficulty 3 Solved,8/121,6.6%
Difficulty 4 Solved,4/86,4.7%
Difficulty 5 Solved,2/89,2.2%
,,
Total Time,22782.3 seconds,
Avg Time per Puzzle,45.56 seconds,
Puzzles per Minute,1.3,
