Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,19,57.81,None
ebc9c10093a1255a,3,FAIL,8,58.89,rules
ed40414d615431d6,3,FAIL,6,58.67,None
dce20e150e7fcced,5,FAIL,19,54.16,rules
3fe8a85b768ae5b7,1,FAIL,18,63.15,"intersecting, rules"
1284a7249a4fa10f,3,FAIL,7,63.61,rules
cbeb87b359947c42,3,FAIL,10,54.60,rules
c80d64b5c5e39d7b,5,FAIL,10,53.17,rules
24e8876585456ee5,5,FAIL,29,64.88,None
196a88635b1c83b4,4,FAIL,8,58.07,rules
e82bd665d710bb75,2,FAIL,13,60.33,rules
c6739963a7308111,3,PASS,9,58.52,None
953c10f2e4d6fd6,2,PASS,2,55.79,None
d91761f3ba340d,4,FAIL,14,60.66,rules
bc66c2e18fd6231b,3,FAIL,9,61.41,rules
4b236c53ea5fbbdf,3,FAIL,6,54.91,None
5f9a92945a4ab62e,1,FAIL,8,59.82,rules
860fbc1cfd446f7c,3,FAIL,5,64.11,"disconnected, rules"
5b5d43da944a752d,4,FAIL,10,59.02,rules
971ad9f45d1bd53b,5,FAIL,17,66.28,"intersecting, rules"
5b3d4d35ac301050,2,FAIL,12,50.40,rules
69a08c785ce5fcac,1,FAIL,9,46.37,"disconnected, intersecting, rules"
a814bed4f6905ba4,5,FAIL,15,48.95,None
f32fe4e5b37fedaa,5,FAIL,15,48.21,"intersecting, rules"
3ba7fc567dd14312,3,FAIL,11,49.22,rules
7ce0b04c1a28cca6,1,FAIL,5,46.30,None
8635ff1b1bcf0c2e,5,FAIL,24,48.51,rules
21df75919e7080e4,3,FAIL,8,41.92,disconnected
daa2db8c01da0bfa,5,FAIL,11,52.83,rules
6443d25f8c289548,3,FAIL,8,40.20,rules
91158b440e1d1942,5,FAIL,10,39.44,rules
1ba6ec5d1f0c3bc6,2,FAIL,12,45.30,None
de0f40e0c4c5852a,4,FAIL,6,41.91,rules
7c2cc9e25acdc10f,4,FAIL,16,50.95,None
146a216115846f70,5,FAIL,16,44.64,None
704931925890a56c,2,FAIL,8,46.43,rules
22c41f4911d10461,3,FAIL,14,40.57,None
75761871763e88e3,2,FAIL,11,42.26,rules
fee7fa98ecbf4534,1,FAIL,7,39.43,rules
3abef01e5d890e13,4,FAIL,16,50.99,rules
a71c3513799bf094,2,FAIL,22,50.27,disconnected
3b229c1d0453a603,3,FAIL,3,54.70,None
ba867d9c182c1124,1,FAIL,6,37.59,None
22ee8177bb6b927d,4,FAIL,18,44.18,rules
200a2fdec77f69b6,1,PASS,10,52.07,None
4c7b5bd02c9270d,3,FAIL,11,54.74,None
efb560f2141edf82,1,FAIL,14,49.07,rules
b7b817f9033f188,5,FAIL,20,43.18,rules
4cc3d963aecb0aec,3,FAIL,12,44.52,rules
6a4a59d9017e80e2,4,FAIL,5,45.23,None
a483b2ad65b79823,4,FAIL,15,38.69,rules
c611d73335c05ea3,3,FAIL,18,49.74,rules
9fc7d6795a3be635,2,FAIL,11,39.90,rules
9b4f3b36495c1615,3,FAIL,11,46.59,rules
1b62c846b90e5d1d,3,FAIL,11,51.03,rules
934d99322aa22dff,1,FAIL,6,50.73,"disconnected, rules"
cd5b6b24c51fb69a,2,FAIL,26,49.27,disconnected
bb9d7db6f55f1f1e,4,FAIL,13,42.85,rules
d1e03bb313e747a9,1,FAIL,12,47.09,"intersecting, rules"
e1b6f8b19d2f4176,2,FAIL,19,52.99,rules
c09ea70a605760d3,1,FAIL,5,39.44,None
58a0f5bca3ff514c,5,FAIL,17,47.71,None
625730bf3883005c,4,FAIL,20,47.11,"disconnected, rules"
8211b75bfb0c714d,1,FAIL,6,39.04,rules
12adf37a767b56ea,2,FAIL,5,47.92,rules
4582b19904d9a029,1,PASS,10,49.78,None
62035ff8ad16cb71,2,FAIL,7,46.99,"disconnected, rules"
5c3f4379847796c4,4,FAIL,11,51.35,rules
bc71d833fad658fb,1,FAIL,8,41.15,rules
77da6edaa689f44a,2,FAIL,9,48.19,None
7326259652efbc9d,4,FAIL,23,48.54,rules
85f95e3fbcd76abb,3,FAIL,38,47.21,"intersecting, rules"
bb667cb09578b4a3,5,FAIL,0,56.06,"start/end, disconnected, intersecting, rules"
ad8f394763490f26,3,FAIL,4,44.66,None
3d1c8a00f582892,3,FAIL,7,46.88,rules
b10c07139b1aa490,1,FAIL,11,43.84,rules
5d259263ec5a5c9e,4,FAIL,8,41.80,None
62d5ef592f8f91fc,3,FAIL,13,52.47,rules
be49f0eca3cd4c32,1,FAIL,14,47.10,rules
220246750ec56ccb,2,FAIL,4,44.62,None
f425a63fc423ced0,3,FAIL,5,48.74,rules
b3e3c52cd5223942,5,FAIL,32,52.51,"intersecting, rules"
ce576f59fcd8e5b5,4,FAIL,16,47.73,None
d71204c97803d9a,4,FAIL,15,49.97,None
cc4ff7682e293a1b,2,PASS,12,46.54,None
b25e33c50909fc03,2,FAIL,8,44.24,None
f271fc95525040b1,5,FAIL,12,48.53,rules
9390c84b6360b4bb,1,FAIL,15,51.35,"intersecting, rules"
a454bd9c3ad0168a,5,FAIL,7,36.98,None
db130c08db23e907,1,FAIL,22,53.27,rules
5c59a67541d92c71,5,FAIL,21,44.18,None
745deea1055373eb,3,FAIL,17,48.73,None
440d97e917325fb0,3,FAIL,7,45.42,rules
dbd181183bb9f775,4,FAIL,15,45.04,"disconnected, rules"
fef8e390bd7a2a7a,5,FAIL,15,53.84,rules
3987c3fc8d33089e,3,FAIL,14,48.53,rules
851365be4fc5c5e,2,PASS,2,38.52,None
e20e6b6a00158bdc,5,FAIL,18,47.90,rules
841b2d97bb365b8b,4,FAIL,12,50.15,rules
b4d66071dc728f44,2,FAIL,14,50.41,"disconnected, rules"
1e7c5367fa438e3b,5,FAIL,16,48.15,rules
b8eb6f7dd1cc9b86,1,FAIL,8,44.62,rules
1796837aa68c2b76,3,FAIL,14,48.33,None
598f03a76e659bbd,3,FAIL,10,49.96,None
a8ea92dd47f4186b,2,FAIL,18,48.93,None
a305fe218d16e612,4,FAIL,11,46.77,disconnected
d58e426a05bbebe0,4,FAIL,9,49.57,rules
95baf8b98ab6874,5,FAIL,17,52.71,None
d72e6e1a7317b676,4,FAIL,18,52.03,rules
b2888d9633744522,3,FAIL,15,49.23,rules
fb69acc1bff1c7b5,2,FAIL,13,45.43,rules
1b23ec5dcd81c575,2,FAIL,14,49.37,disconnected
dedb9695c830d9a1,5,FAIL,11,47.14,None
94e6829bc5fe599b,4,FAIL,3,51.26,None
7f61e30cde11dfd2,5,FAIL,10,51.07,None
ac07176ade6d4fcc,2,FAIL,3,32.38,None
aecb916b87a88a32,3,FAIL,14,49.45,rules
6a3a112c0f2e831b,5,FAIL,11,45.95,rules
e836ae53a1a6b880,5,FAIL,12,46.08,None
58d9c6f1f97d78c1,2,FAIL,21,52.50,rules
10bea253035c791c,2,FAIL,13,47.55,rules
5569f16359d15a33,5,FAIL,23,41.35,rules
d4af13ed1d455209,1,FAIL,26,49.68,intersecting
4efa50053369c63c,3,FAIL,8,47.72,None
4088920d22fbc15a,2,FAIL,21,45.51,"intersecting, rules"
9ecc1e98360e6c0d,3,FAIL,9,42.77,None
8b47902d43ed5c7,3,FAIL,9,37.21,None
6911f7c1419318bb,4,FAIL,11,50.85,rules
ed62498f9a7cf7a5,4,FAIL,14,46.60,rules
4b518615758126ef,3,FAIL,11,48.42,None
a2a967199664a80,4,FAIL,6,48.58,None
93c544fa7b73dc1a,4,FAIL,9,48.06,rules
b54da7bdff2713e1,2,FAIL,5,47.17,rules
2c5ddc804e5b35ba,1,FAIL,11,45.89,rules
241a28965ab741d,1,FAIL,3,42.59,None
