Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,6,1.2%
Failed,494,98.8%
,,
Fully Valid Paths,36,7.2%
Connected Paths,328,65.6%
Correct Start/End,443,88.6%
Non-Intersecting,358,71.6%
No Rule Violations,75,15.0%
,,
Avg Path Length,18.5 steps,
Min Path Length,1 steps,
Max Path Length,126 steps,
,,
Difficulty 1 Solved,4/86,4.7%
Difficulty 2 Solved,0/118,0.0%
Difficulty 3 Solved,1/121,0.8%
Difficulty 4 Solved,1/86,1.2%
Difficulty 5 Solved,0/89,0.0%
,,
Total Time,10581.9 seconds,
Avg Time per Puzzle,21.16 seconds,
Puzzles per Minute,2.8,
